Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
2000.21,0.64,0.55,1.00,0.25
2000.29,0.70,0.56,1.17,0.26
2000.38,0.50,0.36,0.60,0.23
2000.46,0.64,0.40,0.67,0.20
2000.54,0.59,0.39,0.58,0.23
2000.63,0.60,0.42,0.75,0.27
2000.71,0.54,0.38,0.52,0.30
2000.79,0.32,0.26,0.14,0.30
2000.88,0.45,0.30,0.18,0.27
2000.96,0.43,0.28,0.16,0.27
2001.04,0.65,0.45,0.72,0.27
2001.13,0.63,0.44,0.58,0.29
2001.21,0.69,0.55,1.03,0.35
2001.29,0.58,0.50,0.81,0.38
2001.38,0.71,0.57,0.96,0.38
2001.46,0.63,0.52,0.66,0.41
2001.54,0.67,0.59,0.87,0.42
2001.63,0.63,0.49,0.67,0.41
2001.71,0.65,0.51,0.67,0.40
2001.79,0.61,0.50,0.58,0.42
2001.88,0.84,0.72,1.30,0.40
2001.96,0.73,0.55,0.68,0.40
2002.04,0.99,0.77,1.56,0.38
2002.13,0.95,0.78,1.71,0.40
2002.21,1.07,0.88,1.57,0.44
2002.29,0.81,0.58,0.82,0.44
2002.38,0.85,0.64,0.97,0.44
2002.46,0.59,0.53,0.64,0.46
2002.54,0.82,0.61,1.06,0.40
2002.63,0.71,0.53,0.78,0.38
2002.71,0.85,0.63,0.97,0.39
2002.79,0.65,0.54,0.59,0.41
2002.88,0.68,0.59,0.90,0.39
2002.96,0.56,0.44,0.24,0.43
2003.04,0.95,0.74,1.35,0.39
2003.13,0.76,0.58,0.94,0.42
2003.21,0.74,0.60,0.87,0.45
2003.29,0.68,0.55,0.75,0.42
2003.38,0.84,0.60,0.87,0.41
2003.46,0.63,0.48,0.59,0.42
2003.54,0.72,0.58,0.76,0.45
2003.63,0.79,0.65,0.90,0.50
2003.71,0.78,0.62,0.79,0.50
2003.79,0.82,0.72,1.09,0.51
2003.88,0.63,0.53,0.64,0.45
2003.96,0.88,0.75,1.39,0.42
2004.04,0.70,0.58,0.92,0.43
2004.13,0.92,0.72,1.31,0.46
2004.21,0.77,0.63,1.14,0.43
2004.29,0.75,0.61,0.87,0.46
2004.38,0.45,0.37,0.37,0.38
2004.46,0.69,0.44,0.52,0.37
2004.54,0.23,0.26,-0.00,0.43
2004.63,0.61,0.45,0.44,0.45
2004.71,0.55,0.50,0.61,0.45
2004.79,0.76,0.61,0.86,0.46
2004.88,0.91,0.72,1.32,0.45
2004.96,0.70,0.50,0.63,0.43
2005.04,0.97,0.74,1.22,0.42
2005.13,0.87,0.60,0.77,0.40
2005.21,0.99,0.74,1.31,0.43
2005.29,0.82,0.67,1.15,0.43
2005.38,0.76,0.63,0.88,0.46
2005.46,0.81,0.64,1.04,0.45
2005.54,0.77,0.61,0.94,0.48
2005.63,0.74,0.60,0.81,0.48
2005.71,0.96,0.71,1.20,0.44
2005.79,0.99,0.75,1.29,0.40
2005.88,0.91,0.73,1.39,0.38
2005.96,0.90,0.68,1.11,0.36
2006.04,0.78,0.56,0.73,0.37
2006.13,0.99,0.73,1.22,0.37
2006.21,0.82,0.63,1.07,0.36
2006.29,0.64,0.47,0.60,0.40
2006.38,0.50,0.48,0.48,0.42
2006.46,0.82,0.66,1.08,0.44
2006.54,0.70,0.54,0.78,0.44
2006.63,0.88,0.70,1.15,0.46
2006.71,0.81,0.65,0.89,0.47
2006.79,0.92,0.70,1.05,0.44
2006.88,0.93,0.74,0.99,0.48
2006.96,0.97,0.79,1.33,0.45
2007.04,1.28,1.02,2.02,0.44
2007.13,0.93,0.70,1.11,0.42
2007.21,0.96,0.71,1.29,0.37
2007.29,0.98,0.76,1.36,0.37
2007.38,0.98,0.68,1.28,0.35
2007.46,0.74,0.61,0.96,0.40
2007.54,0.80,0.59,0.96,0.37
2007.63,0.87,0.60,1.04,0.32
2007.71,0.83,0.59,1.02,0.33
2007.79,0.82,0.58,1.01,0.30
2007.88,0.74,0.59,1.10,0.24
2007.96,0.74,0.50,0.91,0.20
2008.04,0.51,0.30,0.27,0.22
2008.13,0.49,0.38,0.54,0.23
2008.21,0.92,0.75,1.75,0.27
2008.29,0.68,0.54,0.91,0.28
2008.38,0.60,0.50,0.75,0.30
2008.46,0.57,0.49,0.69,0.35
2008.54,0.77,0.60,0.97,0.39
2008.63,0.44,0.46,0.56,0.42
2008.71,0.80,0.61,0.81,0.41
2008.79,0.82,0.67,1.12,0.40
2008.88,0.85,0.68,1.25,0.36
2008.96,0.69,0.54,0.72,0.37
2009.04,0.79,0.65,1.05,0.35
2009.13,0.76,0.52,0.96,0.31
2009.21,0.68,0.53,0.93,0.36
2009.29,0.77,0.61,0.98,0.40
2009.38,0.84,0.65,0.92,0.46
2009.46,0.81,0.64,0.81,0.56
2009.54,0.93,0.74,0.99,0.55
2009.63,0.91,0.69,0.91,0.55
2009.71,0.93,0.71,1.15,0.48
2009.79,0.74,0.66,0.78,0.51
2009.88,0.88,0.79,1.12,0.52
2009.96,0.75,0.67,0.60,0.58
2010.04,0.95,0.75,1.04,0.55
2010.13,1.06,0.83,1.20,0.55
2010.21,1.12,0.92,1.54,0.56
2010.29,0.97,0.85,1.25,0.55
2010.38,0.98,0.75,1.11,0.52
2010.46,0.91,0.68,1.00,0.50
2010.54,0.77,0.63,0.97,0.47
2010.63,0.85,0.67,1.03,0.46
2010.71,0.89,0.63,0.94,0.42
2010.79,0.95,0.71,1.16,0.37
2010.88,1.05,0.81,1.56,0.34
2010.96,0.62,0.45,0.54,0.32
2011.04,0.78,0.52,0.67,0.31
2011.13,0.62,0.48,0.56,0.34
2011.21,0.78,0.65,0.92,0.35
2011.29,0.82,0.64,1.13,0.36
2011.38,0.64,0.53,0.71,0.38
2011.46,0.78,0.62,0.94,0.41
2011.54,0.89,0.70,1.26,0.38
2011.63,1.04,0.75,1.31,0.38
2011.71,0.80,0.56,0.93,0.35
2011.79,0.85,0.65,1.13,0.33
2011.88,0.81,0.58,0.85,0.34
2011.96,0.85,0.59,1.01,0.29
2012.04,0.62,0.47,0.67,0.30
2012.13,0.61,0.49,0.49,0.34
2012.21,0.71,0.56,0.97,0.32
2012.29,0.88,0.72,1.35,0.37
2012.38,1.00,0.78,1.35,0.42
2012.46,0.71,0.64,1.05,0.42
2012.54,0.62,0.58,0.86,0.45
2012.63,0.88,0.66,0.94,0.48
2012.71,0.87,0.72,1.03,0.50
2012.79,0.98,0.79,1.18,0.49
2012.88,0.98,0.78,1.20,0.46
2012.96,0.73,0.53,0.41,0.46
2013.04,1.02,0.70,1.20,0.38
2013.13,0.81,0.62,1.14,0.40
2013.21,0.86,0.67,1.06,0.42
2013.29,0.68,0.53,0.62,0.45
2013.38,0.72,0.60,0.87,0.46
2013.46,0.98,0.69,1.13,0.44
2013.54,0.74,0.59,0.79,0.50
2013.63,0.90,0.70,1.02,0.53
2013.71,1.03,0.76,1.18,0.50
2013.79,0.89,0.69,0.98,0.48
2013.88,0.96,0.83,1.46,0.49
2013.96,0.92,0.70,1.06,0.45
2014.04,1.00,0.76,1.23,0.43
2014.13,0.71,0.55,0.41,0.43
2014.21,0.84,0.78,1.20,0.46
2014.29,0.93,0.80,1.23,0.53
2014.38,1.07,0.86,1.30,0.56
2014.46,0.79,0.67,0.87,0.61
2014.54,0.73,0.58,0.61,0.59
2014.63,0.90,0.83,1.13,0.65
2014.71,1.08,0.87,1.17,0.65
2014.79,1.01,0.80,1.06,0.59
2014.88,0.84,0.67,0.77,0.56
2014.96,0.96,0.78,1.20,0.55
2015.04,1.03,0.87,1.43,0.54
2015.13,1.13,0.90,1.57,0.52
2015.21,1.14,0.96,1.63,0.56
2015.29,0.79,0.75,0.94,0.62
2015.38,0.89,0.79,1.07,0.66
2015.46,0.92,0.81,1.13,0.69
2015.54,0.71,0.73,0.89,0.69
2015.63,0.91,0.79,1.04,0.72
2015.71,0.87,0.85,1.12,0.77
2015.79,1.26,1.09,1.52,0.81
2015.88,1.27,1.06,1.40,0.80
2015.96,1.47,1.17,1.89,0.79
2016.04,1.36,1.18,1.55,0.82
2016.13,1.69,1.36,2.36,0.74
2016.21,1.68,1.35,2.38,0.76
2016.29,1.36,1.09,1.76,0.73
2016.38,1.23,0.95,1.28,0.69
2016.46,0.97,0.80,0.95,0.72
2016.54,1.03,0.84,1.03,0.72
2016.63,1.36,1.02,1.59,0.71
2016.71,1.18,0.90,1.23,0.68
2016.79,1.21,0.88,0.98,0.67
2016.88,1.29,0.92,1.22,0.57
2016.96,1.22,0.87,1.24,0.58
2017.04,1.24,1.03,1.59,0.64
2017.13,1.47,1.14,1.83,0.66
2017.21,1.43,1.16,1.91,0.66
2017.29,1.16,0.94,1.32,0.68
2017.38,1.25,0.91,1.36,0.64
2017.46,0.82,0.71,0.91,0.65
2017.54,1.07,0.81,1.13,0.68
2017.63,1.11,0.87,1.22,0.70
2017.71,1.03,0.76,1.07,0.64
2017.79,1.22,0.90,1.24,0.63
2017.88,1.14,0.88,1.22,0.59
2017.96,1.24,0.93,1.48,0.53
2018.04,1.14,0.83,1.20,0.51
2018.13,1.17,0.85,1.17,0.50
2018.21,1.17,0.88,1.49,0.53
2018.29,1.22,0.88,1.31,0.59
2018.38,1.02,0.82,1.24,0.60
2018.46,0.96,0.77,1.10,0.58
2018.54,1.15,0.83,1.28,0.57
2018.63,1.00,0.76,1.09,0.59
2018.71,0.99,0.80,1.07,0.63
2018.79,1.19,1.01,1.39,0.70
2018.88,1.07,0.82,0.92,0.68
2018.96,1.26,0.92,1.22,0.66
2019.04,1.20,0.93,1.51,0.64
2019.13,1.26,0.95,1.32,0.64
2019.21,1.45,1.17,1.91,0.66
2019.29,1.29,1.01,1.49,0.67
2019.38,1.12,0.85,1.10,0.63
2019.46,1.12,0.90,1.17,0.71
2019.54,1.19,0.94,1.25,0.74
2019.63,1.14,0.95,1.23,0.73
2019.71,1.12,0.92,1.34,0.67
2019.79,1.26,1.00,1.38,0.69
2019.88,1.32,0.99,1.34,0.69
2019.96,1.49,1.10,1.79,0.67
2020.04,1.48,1.17,2.06,0.71
2020.13,1.60,1.24,2.20,0.70
2020.21,1.41,1.17,1.96,0.72
2020.29,1.44,1.12,1.60,0.76
2020.38,1.29,1.01,1.44,0.71
2020.46,1.23,0.91,1.28,0.68
2020.54,1.06,0.89,1.25,0.70
2020.63,1.03,0.86,1.20,0.71
2020.71,1.31,0.98,1.52,0.65
2020.79,1.19,0.87,1.20,0.60
2020.88,1.55,1.10,1.82,0.55
2020.96,1.17,0.79,1.18,0.49
2021.04,1.14,0.81,1.26,0.46
2021.13,0.92,0.64,0.83,0.46
2021.21,1.22,0.89,1.58,0.49
2021.29,1.00,0.76,1.07,0.52
2021.38,0.97,0.79,1.13,0.55
2021.46,1.10,0.84,1.29,0.59
2021.54,1.23,0.92,1.42,0.64
2021.63,1.13,0.82,1.28,0.63
2021.71,1.29,0.92,1.39,0.63
2021.79,1.36,0.99,1.49,0.61
2021.88,1.17,0.93,1.47,0.62
2021.96,1.22,0.87,1.41,0.55
2022.04,1.18,0.91,1.43,0.60
2022.13,1.14,0.89,1.33,0.57
2022.21,1.43,1.05,1.67,0.57
2022.29,1.06,0.84,1.31,0.57
2022.38,1.11,0.84,1.18,0.57
2022.46,1.19,0.92,1.42,0.62
2022.54,1.24,0.94,1.44,0.61
